model_name,params_json,mae,rmse,mape,smape,precision,recall,n_predictions,n_cutoffs,event_threshold_pct
linear_trend,{},90637.79454538763,107315.30606576864,9.289697737791947,9.451887961097063,0.8403361344537815,0.6993006993006993,258.0,43.0,0.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 400}",92046.39521732366,109362.36485660121,9.60274439515981,9.58252209247514,0.8062015503875969,0.7272727272727273,258.0,43.0,0.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 2, ""n_estimators"": 400}",92083.76915738136,109564.2583717633,9.606655003029353,9.586214932988044,0.8062015503875969,0.7272727272727273,258.0,43.0,0.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 400}",92089.02810753076,109568.58996964466,9.607112769264152,9.586730352466073,0.8062015503875969,0.7272727272727273,258.0,43.0,0.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 400}",92453.12866277137,109525.22917596664,9.644900669341819,9.627052767954709,0.8076923076923077,0.7342657342657343,258.0,43.0,0.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 400}",92535.0272991576,109602.6468555981,9.653642624842194,9.635493145371004,0.8076923076923077,0.7342657342657343,258.0,43.0,0.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 400}",92707.10143870051,109698.07209154988,9.667591222036597,9.653186567914688,0.7923076923076923,0.7202797202797203,258.0,43.0,0.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 200}",92953.5403055888,110250.12989201912,9.68207254501773,9.678783637436386,0.8062015503875969,0.7272727272727273,258.0,43.0,0.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",92988.06634577524,110058.16840080355,9.694303053046154,9.684154627532296,0.8076923076923077,0.7342657342657343,258.0,43.0,0.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 2, ""n_estimators"": 200}",93095.84448085402,110625.75540480309,9.701213424909454,9.693128972336677,0.8062015503875969,0.7272727272727273,258.0,43.0,0.0
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 200}",93125.2171217815,110625.2447908459,9.704182307798872,9.696088683031787,0.8062015503875969,0.7272727272727273,258.0,43.0,0.0
random_forest,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",93141.08598754168,110126.89236260756,9.711664554878121,9.700242003423659,0.8076923076923077,0.7342657342657343,258.0,43.0,0.0
random_forest,"{""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 200}",93287.2131452745,110294.11655062527,9.712578670194329,9.715369106649915,0.8046875,0.7202797202797203,258.0,43.0,0.0
ridge,"{""alpha"": 20.0}",95298.32316439689,115255.12448969379,9.782609484215163,9.942564350928834,0.8135593220338984,0.6713286713286714,258.0,43.0,0.0
ridge,"{""alpha"": 10.0}",100156.5455342016,124248.53017715446,10.233198016492757,10.471222769669707,0.8070175438596491,0.6433566433566433,258.0,43.0,0.0
ridge,"{""alpha"": 5.0}",107957.1669692521,134801.62731183853,11.032185915736683,11.369062761787669,0.8037383177570093,0.6013986013986014,258.0,43.0,0.0
ridge,"{""alpha"": 1.0}",123469.24744423735,157771.17651855576,12.660120553177975,13.300236229175704,0.8,0.5314685314685315,258.0,43.0,0.0
ridge,"{""alpha"": 0.1}",147017.97783689274,205991.6672235291,15.26230684459476,16.517499124384553,0.7888888888888889,0.4965034965034965,258.0,43.0,0.0
